# Run complete. Total time: 00:22:56

Benchmark                                                                                           (captureOutput)  (command)  (iterations)    Mode   Cnt           Score            Error    Units
Benchmark.runApache_withoutThreads                                                                            false        pwd             5   thrpt    10           0.524 ±          0.077   ops/ms
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false        pwd             5   thrpt    10           1.100 ±          0.858        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false        pwd             5   thrpt    10  1159015433.900 ±  769090345.520        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false        pwd             5   thrpt    10  1158834006.700 ±  767914365.529        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false        pwd             5   thrpt    10     6690900.000 ±    4464849.280        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false        pwd             5   thrpt    10         416.000 ±        812.949        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.2.used                                    false        pwd             5   thrpt    10       89705.600 ±    3352233.915        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false        pwd             5   thrpt    10      391313.600 ±    1053816.285        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.capacity                                           false        pwd             5   thrpt    10       52428.800 ±     167105.007        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.used                                               false        pwd             5   thrpt    10        9270.400 ±      11534.909        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgMinorIntervalTime                                  false        pwd             5   thrpt    10          62.800 ±        140.271        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgMinorPauseTime                                     false        pwd             5   thrpt    10           0.100 ±          0.858        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedAvg                                        false        pwd             5   thrpt    10       40192.000 ±     157939.127        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedDev                                        false        pwd             5   thrpt    10       36750.600 ±     134235.431        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedPaddedAvg                                  false        pwd             5   thrpt    10      150444.200 ±     560444.498        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedDev                                        false        pwd             5   thrpt    10       87227.500 ±      96871.178        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgSurvivedPaddedAvg                                  false        pwd             5   thrpt    10      194397.100 ±     301688.048        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.decreaseForFootprint                                  false        pwd             5   thrpt    10           1.200 ±          3.825        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.decrementTenuringThresholdForGcCost                   false        pwd             5   thrpt    10           0.200 ±          0.637        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.minorPauseYoungSlope                                  false        pwd             5   thrpt    10          10.000 ±        635.114        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.mutatorCost                                           false        pwd             5   thrpt    10           0.100 ±          0.478        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.promoted                                              false        pwd             5   thrpt    10       16238.400 ±    1652011.330        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.youngCapacity                                         false        pwd             5   thrpt    10     2831155.200 ±   28418170.426        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.fills                                                   false        pwd             5   thrpt    10          60.500 ±        127.290        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxFills                                                false        pwd             5   thrpt    10           2.900 ±         10.339        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowAlloc                                            false        pwd             5   thrpt    10          26.200 ±         33.722        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.maxSlowWaste                                            false        pwd             5   thrpt    10         403.900 ±       2687.639        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowAlloc                                               false        pwd             5   thrpt    10         408.800 ±        826.385        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowWaste                                               false        pwd             5   thrpt    10       12184.200 ±      37074.698        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false        pwd             5   thrpt    10          87.500 ±         53.387  threads
